µ [1/h]	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE	RANDOMFIXED_0	FLEXIBLE
0,868	0,314	0,139	6,223	0,314	7,83
0,818	3,417	2,09	7,966	2,0	7,966
0,768	3,417	3,417	7,966	2,455	7,966
0,718	5,927	3,744	7,966	3,417	7,966
0,668	7,361	3,744	7,966	3,674	7,966
0,618	7,889	3,744	7,966	6,276	7,966
0,568	7,889	3,744	7,966	6,34	7,966
0,518	7,889	3,744	7,966	6,34	7,966
0,468	7,889	3,744	7,966	6,34	7,966
0,418	7,889	3,744	7,966	6,34	7,966
0,368	7,889	3,744	7,966	6,34	7,966
0,318	7,889	3,744	7,966	6,34	7,966
0,268	7,889	3,744	7,966	6,34	7,966
0,218	7,889	3,744	7,966	6,34	7,966
0,168	7,889	3,744	7,966	6,34	7,966
0,118	7,889	3,744	7,966	6,34	7,966
0,068	7,889	3,744	7,966	6,34	7,966
0,05	7,889	3,744	7,966	6,34	7,966
0,03	7,889	3,744	7,966	6,34	7,966
