µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMFIXED_1	RANDOMFIXED_10	RANDOMFIXED_11	RANDOMFIXED_12	RANDOMFIXED_13	RANDOMFIXED_14	RANDOMFIXED_15	RANDOMFIXED_16	RANDOMFIXED_18	RANDOMFIXED_19	RANDOMFIXED_2	RANDOMFIXED_20	RANDOMFIXED_21	RANDOMFIXED_22	RANDOMFIXED_23	RANDOMFIXED_24	RANDOMFIXED_3	RANDOMFIXED_4	RANDOMFIXED_5	RANDOMFIXED_6	RANDOMFIXED_7	RANDOMFIXED_8	RANDOMFIXED_9	RANDOMS_0	RANDOMS_1	RANDOMS_10	RANDOMS_11	RANDOMS_12	RANDOMS_13	RANDOMS_14	RANDOMS_15	RANDOMS_16	RANDOMS_17	RANDOMS_18	RANDOMS_19	RANDOMS_2	RANDOMS_20	RANDOMS_21	RANDOMS_22	RANDOMS_23	RANDOMS_24	RANDOMS_3	RANDOMS_5	RANDOMS_6	RANDOMS_7	RANDOMS_8	RANDOMS_9	SINGLE_COFACTOR	WILDTYPE
0,868	1,875	1,875	1,827	1,827	1,631	1,875	1,875	1,875	1,875	1,827	1,875	1,829	1,875	1,829	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	0,369	1,875	1,875	0,376	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,827	1,875	1,875	1,875	1,875	1,875	1,875	1,658	1,875	1,875	1,631	1,875	0,173	1,875	0,376
0,818	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,768	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,718	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,668	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,618	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,568	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,518	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,468	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
0,418	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875	1,875
