µ [1/h]	RANDOMS_0	SINGLE_COFACTOR	RANDOMFIXED_0	FLEXIBLE	WILDTYPE
0,868	0,55	0,174	0,581	18,619	13,314
0,818	8,321	5,49	5,49	28,561	23,496
0,768	8,393	8,393	5,49	29,014	26,804
0,718	11,753	11,032	8,393	29,014	28,74
0,668	14,952	11,032	8,393	29,014	28,74
0,618	17,626	11,032	12,581	29,014	29,014
0,568	17,626	11,032	12,581	29,014	29,014
0,518	17,626	11,032	12,581	29,014	29,014
0,468	17,626	11,032	12,581	29,014	29,014
0,418	17,626	11,032	12,581	29,014	29,014
0,368	17,626	11,032	12,581	29,014	29,014
0,318	17,626	11,032	12,581	29,014	29,014
0,268	17,626	11,032	12,581	29,014	29,014
0,218	17,626	11,032	12,581	29,014	29,014
0,168	17,626	11,032	12,581	29,014	29,014
0,118	17,626	11,032	12,581	29,014	29,014
0,068	17,626	11,032	12,581	29,014	29,014
0,05	17,626	11,032	12,581	29,014	29,014
0,03	17,626	11,032	12,581	29,014	29,014
