µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMFIXED_1	RANDOMFIXED_10	RANDOMFIXED_11	RANDOMFIXED_12	RANDOMFIXED_13	RANDOMFIXED_14	RANDOMFIXED_15	RANDOMFIXED_16	RANDOMFIXED_18	RANDOMFIXED_19	RANDOMFIXED_2	RANDOMFIXED_20	RANDOMFIXED_21	RANDOMFIXED_22	RANDOMFIXED_23	RANDOMFIXED_24	RANDOMFIXED_3	RANDOMFIXED_4	RANDOMFIXED_5	RANDOMFIXED_6	RANDOMFIXED_7	RANDOMFIXED_8	RANDOMFIXED_9	RANDOMS_0	RANDOMS_1	RANDOMS_10	RANDOMS_11	RANDOMS_12	RANDOMS_13	RANDOMS_14	RANDOMS_15	RANDOMS_16	RANDOMS_17	RANDOMS_18	RANDOMS_19	RANDOMS_2	RANDOMS_20	RANDOMS_21	RANDOMS_22	RANDOMS_23	RANDOMS_24	RANDOMS_3	RANDOMS_5	RANDOMS_6	RANDOMS_7	RANDOMS_8	RANDOMS_9	SINGLE_COFACTOR	WILDTYPE
0,868	12,327	6,053	2,78	2,476	2,78	5,182	4,711	6,053	3,302	2,69	5,182	2,912	2,566	2,912	5,182	3,302	5,61	4,039	3,319	5,61	5,182	5,61	5,182	3,302	6,288	0,638	5,182	5,182	5,182	6,288	3,302	3,302	5,887	5,61	5,182	5,887	2,69	5,182	4,279	6,053	5,182	4,039	6,053	3,001	3,302	3,029	2,566	3,333	0,209	5,182	12,327
0,818	18,535	6,716	8,125	6,648	6,648	10,089	6,867	7,296	8,125	6,648	8,125	3,243	8,125	6,648	8,286	4,279	8,286	8,125	5,182	5,61	8,125	6,738	6,716	6,867	9,392	9,392	8,125	8,286	8,125	6,716	8,286	9,755	6,716	8,286	7,296	6,716	5,182	6,648	5,61	6,716	6,716	8,125	12,327	5,182	8,125	5,61	9,392	6,288	6,648	6,648	18,535
0,768	29,014	6,716	8,553	14,385	13,525	10,736	14,385	9,987	10,876	14,385	13,955	8,125	8,592	13,525	8,864	8,864	13,525	9,601	14,385	9,971	13,753	8,125	9,437	13,525	14,632	9,392	13,525	13,525	13,525	9,601	13,525	13,525	7,078	13,955	8,553	11,05	13,525	13,525	10,876	7,201	10,876	13,525	12,938	11,05	13,525	7,718	14,632	11,05	13,525	13,525	22,926
0,718	29,014	13,525	13,955	14,385	13,525	14,385	14,385	13,525	10,876	14,385	13,955	13,955	13,525	13,525	13,955	8,864	13,525	13,525	14,385	13,525	13,955	13,955	13,525	13,525	14,632	13,525	13,525	13,525	13,525	9,601	13,525	13,525	13,955	13,955	13,525	14,632	13,525	13,525	10,876	13,525	13,955	13,525	14,385	13,955	13,525	13,525	14,632	14,385	13,525	13,525	22,926
0,668	29,014	13,525	13,955	14,814	13,525	20,016	15,211	13,525	13,525	14,814	14,632	14,084	13,525	13,525	13,955	15,211	13,525	13,525	15,211	13,525	14,396	13,955	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	13,955	14,396	13,525	14,632	13,525	13,525	13,525	13,525	14,396	13,525	14,385	13,955	13,525	13,525	14,632	14,632	13,525	13,525	22,926
0,618	29,014	13,525	15,211	15,211	13,525	20,853	15,211	13,525	13,525	15,211	14,632	14,632	13,525	13,525	13,955	15,211	13,525	13,525	15,211	13,525	14,632	20,853	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	14,632	20,853	13,525	14,632	13,525	13,525	13,525	13,525	14,632	13,525	20,353	20,353	13,525	13,525	14,632	14,632	13,525	13,525	22,926
0,568	29,014	13,525	15,211	15,211	13,525	20,853	15,211	13,525	13,525	15,211	14,632	14,632	13,525	13,525	15,211	15,211	13,525	13,525	15,211	13,525	14,632	20,853	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	14,632	20,853	13,525	14,632	13,525	13,525	13,525	13,525	14,632	13,525	20,353	20,353	13,525	13,525	14,632	14,632	13,525	13,525	22,926
0,518	29,014	13,525	15,211	15,211	13,525	20,853	15,211	13,525	13,525	15,211	14,632	14,632	13,525	13,525	15,211	15,211	13,525	13,525	15,211	13,525	14,632	20,853	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	14,632	20,853	13,525	14,632	13,525	13,525	13,525	13,525	14,632	13,525	20,353	20,353	13,525	13,525	14,632	14,632	13,525	13,525	22,926
0,468	29,014	13,525	15,211	15,211	13,525	20,853	15,211	13,525	13,525	15,211	14,632	14,632	13,525	13,525	15,211	15,211	13,525	13,525	15,211	13,525	14,632	20,853	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	14,632	20,853	13,525	14,632	13,525	13,525	13,525	13,525	14,632	13,525	20,353	20,353	13,525	13,525	14,632	14,632	13,525	13,525	22,926
0,418	29,014	13,525	15,211	15,211	13,525	20,853	15,211	13,525	13,525	15,211	14,632	14,632	13,525	13,525	15,211	15,211	13,525	13,525	15,211	13,525	14,632	20,853	13,525	13,525	14,632	13,525	13,525	13,525	13,525	13,525	13,525	13,525	14,632	20,853	13,525	14,632	13,525	13,525	13,525	13,525	14,632	13,525	20,353	20,353	13,525	13,525	14,632	14,632	13,525	13,525	22,926
