µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.868;5.454701288745219e-09;43.219820755546266
0.818;1.828475911068517e-08;5.489600406820638
0.768;1.828475911068517e-08;1409.9629208438744
0.718;1.828475911068517e-08;1409.9629208438744
0.668;1.8284759110685234e-08;1409.9629208438744
0.618;1.8284759109209265e-08;1409.9629210714984
0.568;1.8284759109209265e-08;1409.9629210714984
0.518;1.828475911068517e-08;1409.9629208438769
0.468;1.8284759109209265e-08;1409.9629210714997
0.418;1.8284759109209265e-08;1409.9629210714972
0.368;1.828475911068517e-08;1409.9629208438769
0.318;1.8284759109209265e-08;1409.9629210714997
0.268;1.8284759109209265e-08;1409.9629210714997
0.218;1.8284759109209265e-08;1409.9629210714984
0.168;1.8284759109209265e-08;1409.9629210714984
0.118;1.8284759109209265e-08;1409.9629210714984
0.068;1.8284759109209265e-08;1409.9629210714984
0.05;1.8284759109209265e-08;1409.9629210714984
0.03;1.8284759109209265e-08;1409.9629210714972
