µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.868;1.0587637036675116e-06;1.134970528806764e-05
0.818;9.697491281103921e-09;1.4621028832899589e-05
0.768;9.697491281103921e-09;2.0586547428516836e-05
0.718;9.697491281103921e-09;3.6483933157847465e-05
0.668;9.697491281103921e-09;3.648393315784759e-05
0.618;9.697491281103921e-09;3.6483933157847465e-05
0.568;9.697491281103921e-09;3.6483933157847465e-05
0.518;9.697491281103921e-09;3.6483933157847336e-05
0.468;9.697491281103852e-09;3.6483933157847465e-05
0.418;9.697491281103921e-09;3.6483933157847465e-05
0.368;9.697491279164457e-09;3.6483933157847465e-05
0.318;9.697491281103921e-09;3.6483933157847465e-05
0.268;9.697491281103921e-09;3.6483933157847465e-05
0.218;9.697491281103852e-09;3.6483933157847465e-05
0.168;9.697491281103852e-09;3.6483933157847465e-05
0.118;9.697491281103921e-09;5.00516063111025e-05
0.068;9.697491281103921e-09;5.0051606311101964e-05
0.05;9.697491281103921e-09;5.0051606311103035e-05
0.03;9.697491281103784e-09;0.025082410302595674
