µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.868;6.057532061018978e-07;6.057532061018978e-07
0.818;7.412048519953993e-06;0.00047008681571776854
0.768;4.3580257636046746e-05;0.0005079434041649491
0.718;4.3580257636046746e-05;0.0005079434041649491
0.668;4.3580257638221385e-05;0.0005079434041142558
0.618;4.3580257638221303e-05;0.0005079434041142549
0.568;4.3580257636046746e-05;0.0005079434041649491
0.518;4.3580257638221303e-05;0.0005079434041142558
0.468;4.3580257636046746e-05;0.0005079434041649491
0.418;4.3580257638221385e-05;0.0005079434041650502
0.368;4.3580257638221303e-05;0.0005079434041142558
0.318;4.358025763822146e-05;0.0005079434041142558
0.268;4.3580257640428075e-05;0.0005079434040628172
0.218;4.3580257638221303e-05;0.0005079434041142568
0.168;4.3580257636046746e-05;0.0005079434041649478
0.118;4.3580257638221385e-05;0.0005079434041142549
0.068;4.358025763822069e-05;0.0005079434041646992
0.05;4.3580257638221385e-05;0.0005079434041142549
0.03;4.3580257636046746e-05;0.0005079434041649478
