µ [1/h];Min [NADH]/[NAD] / [NADPH] / [NADP] ratio ratio;Max [NADH]/[NAD] / [NADPH] / [NADP] ratio
0.868;3.170970035392897e-08;4.23958164206238e-06
0.818;8.945159205641623e-09;4.901053093527124e-07
0.768;3.397466517937613e-08;3.397466517935416e-08
0.718;7.417029190411599e-08;7.417029190406565e-08
0.668;7.417029190656527e-08;7.417029189916734e-08
0.618;8.28367786889318e-08;5.000046497229754e-07
0.568;8.283677869721503e-08;5.000046497229754e-07
0.518;8.283677869721503e-08;5.000046497229738e-07
0.468;8.283677869721445e-08;5.000046497229754e-07
0.418;8.283677869721445e-08;5.000046497229754e-07
0.368;8.283677869721445e-08;5.000046497229754e-07
0.318;8.283677869721503e-08;5.000046497229754e-07
0.268;8.283677869721503e-08;5.000046497229754e-07
0.218;8.28367786889318e-08;5.000046497229754e-07
0.168;8.283677869721503e-08;5.000046497229754e-07
0.118;8.283677869721445e-08;5.000046497229754e-07
0.068;8.283677869721445e-08;5.000046497229754e-07
0.05;8.283677869721503e-08;5.000046497229754e-07
0.03;8.283677869721503e-08;2.0586965751996375e-05
