µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE
0,868	18,619	18,619	18,619	0,174	13,314
0,818	29,014	29,014	29,014	5,49	23,496
0,768	29,014	29,014	29,014	8,393	26,804
0,718	29,014	29,014	29,014	11,032	28,74
0,668	29,014	29,014	29,014	11,032	28,74
0,618	29,014	29,014	29,014	11,032	29,014
0,568	29,014	29,014	29,014	11,032	29,014
0,518	29,014	29,014	29,014	11,032	29,014
0,468	29,014	29,014	29,014	11,032	29,014
0,418	29,014	29,014	29,014	11,032	29,014
0,368	29,014	29,014	29,014	11,032	29,014
0,318	29,014	29,014	29,014	11,032	29,014
0,268	29,014	29,014	29,014	11,032	29,014
0,218	29,014	29,014	29,014	11,032	29,014
0,168	29,014	29,014	29,014	11,032	29,014
0,118	29,014	29,014	29,014	11,032	29,014
0,068	29,014	29,014	29,014	11,032	29,014
0,05	29,014	29,014	29,014	11,032	29,014
0,03	29,014	29,014	29,014	11,032	29,014
