µ [1/h]	RANDOMS_0	SINGLE_COFACTOR	RANDOMFIXED_0	FLEXIBLE	WILDTYPE
0,868	14,52	0,174	18,619	18,619	13,314
0,818	28,561	5,49	28,561	29,014	23,496
0,768	29,014	8,393	29,014	29,014	26,804
0,718	29,014	11,032	29,014	29,014	28,74
0,668	29,014	11,032	29,014	29,014	28,74
0,618	29,014	11,032	29,014	29,014	29,014
0,568	29,014	11,032	29,014	29,014	29,014
0,518	29,014	11,032	29,014	29,014	29,014
0,468	29,014	11,032	29,014	29,014	29,014
0,418	29,014	11,032	29,014	29,014	29,014
0,368	29,014	11,032	29,014	29,014	29,014
0,318	29,014	11,032	29,014	29,014	29,014
0,268	29,014	11,032	29,014	29,014	29,014
0,218	29,014	11,032	29,014	29,014	29,014
0,168	29,014	11,032	29,014	29,014	29,014
0,118	29,014	11,032	29,014	29,014	29,014
0,068	29,014	11,032	29,014	29,014	29,014
0,05	29,014	11,032	29,014	29,014	29,014
0,03	29,014	11,032	29,014	29,014	29,014
