µ [1/h]	SINGLE_COFACTOR	WILDTYPE	RANDOMFIXED_0	FLEXIBLE	RANDOMS_0
0,868	0,139	6,223	7,966	7,966	7,966
0,818	2,09	7,966	7,966	7,966	7,966
0,768	3,417	7,966	7,966	7,966	7,966
0,718	3,744	7,966	7,966	7,966	7,966
0,668	3,744	7,966	7,966	7,966	7,966
0,618	3,744	7,966	7,966	7,966	7,966
0,568	3,744	7,966	7,966	7,966	7,966
0,518	3,744	7,966	7,966	7,966	7,966
0,468	3,744	7,966	7,966	7,966	7,966
0,418	3,744	7,966	7,966	7,966	7,966
0,368	3,744	7,966	7,966	7,966	7,966
0,318	3,744	7,966	7,966	7,966	7,966
0,268	3,744	7,966	7,966	7,966	7,966
0,218	3,744	7,966	7,966	7,966	7,966
0,168	3,744	7,966	7,966	7,966	7,966
0,118	3,744	7,966	7,966	7,966	7,966
0,068	3,744	7,966	7,966	7,966	7,966
0,05	3,744	7,966	7,966	7,966	7,966
0,03	3,744	7,966	7,966	7,966	7,966
