µ [1/h]	RANDOMS_0	WILDTYPE	FLEXIBLE	SINGLE_COFACTOR	RANDOMFIXED_0
0,868	34,493	13,314	39,401	0,174	31,242
0,818	39,458	23,496	42,147	5,49	39,401
0,768	41,56	26,804	42,147	8,393	41,393
0,718	41,56	28,74	42,147	11,032	42,147
0,668	41,56	28,74	42,147	11,032	42,147
0,618	41,56	29,014	42,147	11,032	42,147
0,568	41,56	29,014	42,147	11,032	42,147
0,518	41,56	29,014	42,147	11,032	42,147
0,468	41,56	29,014	42,147	11,032	42,147
0,418	41,56	29,014	42,147	11,032	42,147
0,368	41,56	29,014	42,147	11,032	42,147
0,318	41,56	29,014	42,147	11,032	42,147
0,268	41,56	29,014	44,592	11,032	42,147
0,218	43,152	29,014	44,592	11,032	44,592
0,168	43,387	29,014	45,724	11,032	44,904
0,118	44,604	29,014	46,527	11,032	44,904
0,068	44,604	29,014	46,527	11,032	45,469
0,05	44,604	29,014	46,527	11,032	45,469
0,03	44,604	29,014	46,527	11,032	45,469
