µ [1/h]	FLEXIBLE	RANDOMFIXED_0	RANDOMS_0	SINGLE_COFACTOR	WILDTYPE
0,868	40,42	30,254	32,347	5,182	11,036
0,818	43,183	38,532	35,438	6,648	18,565
0,768	47,135	38,559	35,438	13,525	22,926
0,718	47,135	42,327	35,438	13,525	22,926
0,668	47,135	42,536	35,438	13,525	22,926
0,618	47,135	42,536	35,438	13,525	22,926
0,568	47,135	42,536	35,438	13,525	22,926
0,518	47,135	42,536	35,438	13,525	22,926
0,468	47,135	42,536	35,438	13,525	22,926
0,418	47,135	42,536	35,438	13,525	22,926
0,368	47,135	43,183	35,438	13,525	22,926
0,318	47,135	45,707	35,438	13,525	22,926
0,268	47,135	45,707	35,438	13,525	22,926
0,218	47,135	45,707	35,438	13,525	22,926
0,168	47,135	45,707	35,438	13,525	22,926
0,118	47,135	45,707	35,438	13,525	22,926
0,068	47,135	45,707	35,438	13,525	22,926
0,05	47,135	45,707	35,438	13,525	22,926
0,03	47,135	45,707	35,438	13,525	22,926
